"id_video","titulo","vistas","likes","comentarios"
"x0FTQ0rnW_A","[SEVENTEEN] GOING SEVENTEEN 2019 EP.28 세봉이의 상상은 현실이 된다 #2 (THE SECRET LIFE OF GOING SEVONG #2)",2645266,62345,1866
"0lqhR1cV4r0","[SEVENTEEN] GOING SEVENTEEN 2019 EP.27 세봉이의 상상은 현실이 된다 #1 (THE SECRET LIFE OF GOING SEVONG #1)",2761128,94603,2842
"V2f7DgtIPp8","[SEVENTEEN] GOING SEVENTEEN 2019 연말특집 TTT 하드 털이 (TTT Compilation)",8686758,271676,5139
"Q1lhaKEewGQ","[SEVENTEEN] GOING SEVENTEEN 2019 EP.26 SSS #2 (SVT SECRET SANTA #2)",4405749,160202,5256
"ktKU5hPO9b8","[SEVENTEEN] GOING SEVENTEEN 2019 EP.25 SVT 놀이터 #2｜SSS #1 (SVT Playground #2｜SVT SECRET SANTA #1)",7407174,224541,4048
"XbNcsgEX2jc","[SEVENTEEN] GOING SEVENTEEN 2019 EP.24 SVT 놀이터 #1 (SVT Playground #1)",10759078,293942,7945
"ngq4yPRczJI","[SEVENTEEN] GOING SEVENTEEN 2019 EP.23 TTT #3 (Camping Ver.)",5709144,215482,5905
"Lbk5zL1eXEc","[SEVENTEEN] GOING SEVENTEEN 2019 EP.22 TTT #2 (Camping Ver.)",5436443,183605,3270
"zMpnvIJePt4","[SEVENTEEN] GOING SEVENTEEN 2019 EP.21 TTT #1 (Camping Ver.)",8101619,259066,4940
"wTYpjp9Bzrs","[SEVENTEEN] GOING SEVENTEEN 2019 EP.20 논리나잇 #2 (Debate Night #2)",2667682,99111,4082
"9O2D9K7l-FU","[SEVENTEEN] GOING SEVENTEEN 2019 EP.19 논리나잇 #1 (Debate Night #1)",4781729,149339,7647
"LFg1O_lEf5M","[SEVENTEEN] GOING SEVENTEEN 2019 EP.18 노래방탈출 #2 (Escape Singing Room #2)",4344600,180314,5644
"dnLf3U4sM9o","[SEVENTEEN] GOING SEVENTEEN 2019 EP.17 노래방탈출 #1 (Escape Singing Room #1)",7871047,262121,4639
"fpQceDoi9t4","[SEVENTEEN] GOING SEVENTEEN 2019 EP.16 MBTI of SVT #3",4089958,176956,3683
"EkHttaEGIhY","[SEVENTEEN] GOING SEVENTEEN 2019 EP.15 MBTI of SVT #2",5215452,179229,2830
"8YLINCSBaDY","[SEVENTEEN] GOING SEVENTEEN 2019 EP.14 MBTI of SVT #1",4004235,141134,4758
"KuCizZPzVKw","[SEVENTEEN] GOING SEVENTEEN 2019 EP.13 SVT TRIP #2",2250082,73523,1939
"Wzf-zJSNbgc","[SEVENTEEN] GOING SEVENTEEN 2019 EP.12 SVT TRIP #1",4694053,137945,2790
"EJ3bh4zJkl4","[SEVENTEEN] GOING SEVENTEEN 2019 EP.11 당.당.감.체 #2",1377061,55817,1449
"V5YVLdrWoJw","[SEVENTEEN] GOING SEVENTEEN 2019 EP.10 당.당.감.체 #1",2470208,85983,1669
"R3eY4ncfaWA","[SEVENTEEN] GOING SEVENTEEN 2019 EP.9 JAPAN 'HARU' CONCERT #2",890152,43150,1425
"Sd0Uo9BHdBU","[SEVENTEEN] GOING SEVENTEEN 2019 EP.8 JAPAN 'HARU' CONCERT #1",1167065,53826,1596
"AFm4X4yoTr8","[SEVENTEEN] GOING SEVENTEEN 2019 EP.7 고잉 세븐틴 오프닝 영상 만들기",2793286,108905,2810
"lejQcet-fc4","[SEVENTEEN] GOING SEVENTEEN 2019 EP.6 고잉 세븐틴 로고송 만들기",2951909,98291,3382
"5kER2MckMpE","[SEVENTEEN] GOING SEVENTEEN 2019 EP.5 'CARAT LAND' BEHIND",2370646,104940,2674
"JMX9NCM3caQ","[SEVENTEEN] GOING SEVENTEEN 2019 EP.4 고잉엔터테인먼트 신입 사원들의 발표 시간",1787483,58668,2054
"8BR6snFbUTA","[SEVENTEEN] GOING SEVENTEEN 2019 EP.3",1759824,54166,1947
"5jH5xQpNJ1w","[SEVENTEEN] GOING SEVENTEEN 2019 EP.2",1366450,59304,1962
"V9tQrS2XWBI","[SEVENTEEN] GOING SEVENTEEN 2019 EP.1",2425182,111100,3743
"HVzNAbfSUQs","[GOING SEVENTEEN 2020] 고잉 세븐틴 2020 캐럿 어워즈 (GOING SEVENTEEN 2020 CARAT AWARDS)",2933326,159057,11593
"bHfkhdox6j4","[GOING SEVENTEEN 2020] EP.47 GOING #2",4326069,243454,9833
"tS9Fp77VtAE","[GOING SEVENTEEN 2020] EP.46 GOING #1",8005076,372408,16711
"Go4K8zfGmdw","[GOING SEVENTEEN 2020] EP.45 TTT #2 (Hyperrealism Ver.)",16549679,470716,16730
"OjbjlNbQqLc","[GOING SEVENTEEN 2020] EP.44 TTT #1 (Hyperrealism Ver.)",19061442,527186,20435
"yjhH4fJ8cig","[GOING SEVENTEEN 2020] EP.43 GOING VS SEVENTEEN #2",4833782,269330,8898
"YTQrsc-scNk","[GOING SEVENTEEN 2020] EP.42 GOING VS SEVENTEEN #1",8461252,351610,12259
"YZg6Gr7PFBA","[GOING SEVENTEEN 2020] EP.41 돈't Lie Ⅱ #2 (Don't Lie Ⅱ #2)",10640854,491438,18872
"7-RbcrWTth4","[GOING SEVENTEEN 2020] EP.40 돈't Lie Ⅱ #1 (Don't Lie Ⅱ #1)",13973293,463719,13328
"Mq6hMskza_c","[GOING SEVENTEEN 2020] EP.39 CARNIVAL",7486062,382779,19493
"3wVFOufYIqA","[GOING SEVENTEEN 2020] EP.38 천고마비 (Bungee Jump) #2",8448253,389796,13095
"JxIFJaiTAqI","[GOING SEVENTEEN 2020] EP.37 천고마비 (Bungee Jump) #1",12846855,436238,9414
"ocKgQ5Zgzqg","[GOING SEVENTEEN 2020] EP.36 세븐틴사이드 아웃 (SVTSIDE OUT)",11664940,451093,13418
"4BouDJrSEEk","[GOING SEVENTEEN 2020] EP.35 BAD CLUE #2",4747431,267037,13497
"HOQzjZii7LY","[GOING SEVENTEEN 2020] EP.34 BAD CLUE #1",7643046,324764,18423
"8xZqsdb3hso","[GOING SEVENTEEN 2020] EP.33 MOUSEBUSTERS #3",6481572,343139,13055
"vOl-ahE6Sj4","[GOING SEVENTEEN 2020] EP.32 MOUSEBUSTERS #2",6117903,297284,9370
"hxTGug0k39s","[GOING SEVENTEEN 2020] EP.31 MOUSEBUSTERS #1",9309675,388714,12449
"o03cOYRJTp4","[GOING SEVENTEEN 2020] EP.30 8월의 크리스마스 #2 (Christmas in August #2)",7111385,303558,9457
"DtFEm46-XdE","[GOING SEVENTEEN 2020] EP.29 8월의 크리스마스 #1 (Christmas in August #1)",10942882,362174,9969
"8A9UBdMBEgI","[GOING SEVENTEEN 2020] EP.28 술래잡기 #2 (The Tag #2)",11861427,522579,25481
"zKa-EGTpkRI","[GOING SEVENTEEN 2020] EP.27 술래잡기 #1 (The Tag #1)",22051524,768293,25459
"2kdXw2iv_fA","[GOING SEVENTEEN 2020] EP.26 디에잇과 12인의 그림자 #2 (THE 8 and the 12 Shadows #2)",8460614,380987,9040
"ub96Mzr7BBQ","[GOING SEVENTEEN 2020] EP.25 디에잇과 12인의 그림자 #1 (THE 8 and the 12 Shadows #1)",14438920,567346,15010
"bVpPO8giupY","[GOING SEVENTEEN 2020] EP.24 드립 : 세븐틴 갓 탤런트 #2 (Ad-lib : Seventeen's got Talent #2)",8580845,376998,9694
"vVAPe9DZxB4","[GOING SEVENTEEN 2020] EP.23 드립 : 세븐틴 갓 탤런트 #1 (Ad-lib : Seventeen's got Talent #1)",13054951,457963,13545
"zNUNmzCSYPs","[GOING SEVENTEEN 2020] EP.22 네발라이더 #2 (Four Wheeled Rider #2)",5755026,251325,8258
"xIVAGmpuq78","[GOING SEVENTEEN 2020] EP.21 네발라이더 #1 (Four Wheeled Rider #1)",8612069,315070,7197
"k2jflXborAY","[GOING SEVENTEEN 2020] EP.20 그림의 떡 (Pie in the Sky)",7934288,245403,6194
"BrjWFINAfCA","[GOING SEVENTEEN 2020] EP.19 논리나잇 Ⅱ #2 (Debate Night Ⅱ #2)",3747613,149704,5158
"PwsatXwPonc","[GOING SEVENTEEN 2020] EP.18 논리나잇 Ⅱ #1 (Debate Night Ⅱ #1)",6753301,222087,7922
"VGQH5UtfOaE","[GOING SEVENTEEN 2020] EP.17 인간 체스 #2 (Human Chess #2)",4506245,196362,6728
"y1hjOwfU3kM","[GOING SEVENTEEN 2020] EP.16 인간 체스 #1 (Human Chess #1)",6346397,235415,6084
"_VY-lZAQbfg","[GOING SEVENTEEN 2020] EP.15 딜리버리 푸드 파이터 下 (Delivery Food Fighter #2)",3387910,126202,4674
"nKkOJQFiOhA","[GOING SEVENTEEN 2020] EP.14 딜리버리 푸드 파이터 上 (Delivery Food Fighter #1)",4930093,175904,7010
"ZB4ABOJfpy8","[GOING SEVENTEEN 2020] EP.13 SVT ESCAPE ROOM #2",3536978,159872,4236
"jS7RmsQ-QrU","[GOING SEVENTEEN 2020] EP.12 SVT ESCAPE ROOM #1",6192660,213755,4688
"ZbfHpnri1Ko","[GOING SEVENTEEN 2020] EP.11 S.B.S #2 (SEVENTEEN BRAIN SURVIVAL #2)",2906628,126535,3818
"o0aQTWjqGIk","[GOING SEVENTEEN 2020] EP.10 S.B.S #1 (SEVENTEEN BRAIN SURVIVAL #1)",5609474,186764,5714
"mk3c9y05zLY","[GOING SEVENTEEN 2020] EP.9 불면제로 #2 (Insomnia-Zero #2)",8324110,257416,7648
"89o7Ef7Qaq0","[GOING SEVENTEEN 2020] EP.8 불면제로 #1 (Insomnia-Zero #1)",12819388,317537,6176
